X,Y,Outcome,Bodypart
78.5999985,54.599998500000005,0,0
86.5,53.5999985,0,1
91.9000015,66.0999985,0,0
91.5999985,44.7999992,0,0
91.0,47.5999985,0,0
90.4000015,47.200000800000005,0,0
86.9000015,66.5999985,0,0
90.0,45.5,0,1
75.4000015,27.0,0,0
92.9000015,50.4000015,0,1
90.4000015,45.0,0,1
73.1999969,46.0999985,0,0
73.1999969,64.0999985,0,0
87.3000031,41.5999985,0,0
91.6999969,48.7999992,0,0
86.8000031,68.6999969,0,0
85.6999969,50.7000008,0,0
79.0999985,65.6999969,0,0
89.8000031,49.4000015,0,1
92.6999969,29.899999599999997,0,0
72.1999969,66.0,0,0
88.8000031,38.5999985,0,1
90.1999969,34.200000800000005,0,0
75.4000015,37.2999992,0,0
92.0,61.4000015,0,1
91.6999969,69.5999985,0,0
85.5,83.8000031,0,0
92.5,51.0999985,0,1
74.4000015,44.5,0,0
78.8000031,47.0,0,0
80.4000015,40.4000015,0,0
74.6999969,51.2000008,0,0
92.0999985,67.0,0,0
82.9000015,39.0,0,0
74.5,31.8999996,0,0
88.9000015,38.0,0,0
68.0999985,51.5999985,0,0
76.0999985,43.2999992,0,0
89.6999969,31.6000004,0,0
73.0999985,62.5,0,0
86.5999985,42.7999992,0,0
91.5999985,55.900001499999995,0,1
91.1999969,64.1999969,0,0
90.0,53.5999985,0,1
94.4000015,69.6999969,0,0
81.3000031,72.9000015,0,0
76.5,41.299999199999995,0,0
71.9000015,47.5,0,0
89.4000015,50.2999992,0,0
70.6999969,30.8999996,0,0
88.8000031,43.5,0,0
91.0999985,64.0,1,0
83.5999985,68.5999985,0,0
92.9000015,52.0999985,1,0
88.0,60.2000008,0,0
86.3000031,60.2000008,0,0
88.1999969,50.2999992,0,1
94.6999969,68.0999985,0,0
75.0999985,57.599998500000005,0,0
82.9000015,64.3000031,0,0
73.1999969,50.0,1,0
89.0,55.900001499999995,0,1
69.8000031,49.2999992,0,0
85.6999969,58.099998500000005,0,0
88.8000031,43.2999992,0,0
81.0,48.7999992,0,0
70.4000015,49.099998500000005,0,0
75.4000015,52.9000015,0,0
93.9000015,38.2000008,0,1
84.8000031,66.9000015,0,0
91.0,60.2999992,0,1
75.0999985,38.2000008,0,0
81.8000031,49.099998500000005,0,0
92.6999969,48.5,0,0
80.1999969,72.5999985,0,0
90.0,36.9000015,0,0
88.9000015,30.5,0,0
81.1999969,50.4000015,0,0
90.5999985,61.0,0,0
90.5999985,56.700000800000005,0,0
73.0999985,41.9000015,0,0
95.4000015,50.2999992,1,1
97.8000031,59.9000015,0,1
85.9000015,65.8000031,0,0
77.8000031,66.4000015,0,0
95.6999969,52.5,0,1
87.5999985,62.5,1,0
75.0999985,52.0999985,0,0
87.1999969,37.5,0,0
87.5,70.9000015,0,0
94.9000015,46.4000015,0,1
